Author	Rating 	Helpful - found	Helfpful%	Comments	Helpful - Total	Number of Records	Product Code	Product Name	User Rating	Sentiment	Usefulness	Product Posted On
karan	1	0	0	"not worth the price at all , a normal 300 or 400 rs trimmer would be far better than it the dock settings are just useless"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		26-07-2014
Rajesh Kumar	1	0	0	"The seal is broken though product seems to be good', 'Why they shipped broken seal package and how can I can believe it is original product."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		28-09-2015
vadupu naga venkata prabhu charan tej	1	0	0	Totally stuck with this trimmer . I don't know wat will be going on very bad	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		30-01-2015
Abraham	1	0	0	I purchase this product on may now its not working.. I'm not sure what is the reason.. Should I complain about this to amazon or Philips?	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		31-08-2014
Sajan Patel	1	0	0	"Bad courier service, product is awesome"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		04-09-2014
PUNEET ANAND	1	0	0	not so effective. we could have got something better for this value.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		05-10-2015
sandeep kumar patel	1	0	0	very poor performance of battery. and could not use with charger. after full charging hardly 5 min you can use . worst proudect i have seen by amazon . please dont buy this product . i think this is not the orignal product amazon is selling local product on branded logo	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		05-09-2015
Shoyab	1	0	0	"It was working good for a week, now i am use it. As its getting heated up in mid of trimming my beard."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		07-10-2014
Nisha Syal	1	0	0	The product is not up to the mark. Was completely unpleasant experience.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive		08-10-2015
laxman	1	1	100	it was little hard to use	1	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	1 of 1 people found the following review helpful	11-08-2014
prakash dolas	1	1	100	i purchase this trimmer last month.now it is not getting charge.please tell me how i exchange this product.it having 1 year warrenty.	1	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	1 of 1 people found the following review helpful	20-04-2015
sandeep cc	1	1	100	It's not charging now . I brought it 2 months back.	1	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	1 of 1 people found the following review helpful	24-05-2015
Kamal Kishor Girdher	1	1	100	The outer brown box was sealed but the actual product box was not sealed. It was already open. I doubt if this was original and brand new.	1	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	1 of 1 people found the following review helpful	30-04-2015
rohit	1	1	100	Not upto the expectations. ... In this price range Panasonic is better..	1	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	1 of 1 people found the following review helpful	04-12-2014
k.poorna chandra rao	1	1	100	worked only for few months.	1	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	1 of 1 people found the following review helpful	04-06-2015
Vishal	1	1	50	"Initially worked well, but just after a usage of couple of times in less than 60 days it's of no use now. Current status of that when I charge it sufficiently I can't use it more than 90 seconds. If still I have to use that thing then I need to charge atleast thrice for a single use."	2	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	1 of 2 people found the following review helpful	04-08-2014
sudhir dwivedi	1	2	100	very bad !! after 15 days charger not working !!!	2	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	2 of 2 people found the following review helpful	04-06-2015
Arun	1	2	100	Item was good...but the product seal was opened Inside so it's a highly disappointing factor as it is my first product in amazon	2	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	2 of 2 people found the following review helpful	05-01-2015
Nanjundaiah.K	1	2	66.66666667	"Its not working even 3 months, experience disgusting,  Previously I have purchased trimmer in Footpath for an amount of 400/- Rs it works more than year. Amazon sells duplicate and second hand materials. I hate it."	3	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	2 of 3 people found the following review helpful	02-01-2015
lesley	1	3	75	please dont buy phlips products... if your charger gone.. hav to buy new charger for rs 800 charger alone.. nice idea of philps worst company	4	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	3 of 4 people found the following review helpful	28-11-2014
anantha	1	5	100	all of a sudden the trimmer stopped working with 10 mins even after charging for whole night and I had do shaving :( Then again I had put for charging and check it didn't work at all..	5	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	5 of 5 people found the following review helpful	17-02-2015
Parimal	1	6	75	"The product per se is good and works well. However, the small shaft behind the removable blade part automatically got loose & is now broken. The machine is working but the shaft which takes power to blades is not there making this now useless.', ""Other issue was with battery. Had to charge it for 10 hours for about 25 mins back up & here too, the speed used to decrease after 10 mins use (which is say 2 times use) & hair is then plucked rather than being cut. This is very troublesome as one can't expect to keep charging for 10 hrs for 3 times use, especially while traveling."", ""So, before buying, do ensure about risk with blade shaft and battery. Those who still want to buy this, I would recommend to opt for wired trimmer which is not only cheaper but reliable as it runs directly on AC mains. Since I used to use this directly (without comb), it doesn't matter whether its 0.5 mm or 1 mm comb adjustment."	8	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	1.0 out of 5 stars	Negetive	6 of 8 people found the following review helpful	08-12-2014
pritesh	2	0	0	Product is good but its packaging wasn't good. Box of philips was improper.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		01-09-2015
Mammen	2	0	0	The fixed tooth is having too much gap that the soft skins get trapped and injures. Have to do carefully. My brother bought a Mr.plus model which gives a great shavinh effect. And my previous one waa vinverth and it was extremely good...  except this the tech is good. But not really satisfactory	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		10-11-2014
praneeth	2	0	0	Product is good but vey poor service by Amazon	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		11-11-2014
Arjun kk	2	0	0	"The only defect is it doesnt have an indicator to tell whether its fully charged or not.', 'Apart from that this is a wonderful product."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		13-11-2014
Srikanth	2	0	0	I was damaged very easily when it just fell down from my hands..	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		14-07-2015
Adarsh M S	2	0	0	"I used this for couple of times, after that its battery backup is gone. Now every time I need to recharge before making a trim."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		15-08-2015
vikas rishishwar	2	0	0	"Very odd design.', 'And the worst thing is it does not work when pluged in on electricity and charging takes in 10 hours."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		15-08-2015
dushyanth reddy	2	0	0	It looks good By charging it was good but  it was not too smooth that  what I expected . .	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		15-07-2014
Sudarshan B	2	0	0	"Supplied on time. The quality of trimming is not good and creates some pain to the skin.', 'Device will get heated up if we use for 10 to 15 minutes and battery consumption is more so that frequent charging it expects. The  time limit mentioned by the company for recharging and using it is not true."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		15-09-2014
zayed	2	0	0	IT NOT THAT GOOD AS I WAS EXPECTING . POOR PERFORMANCE AND WORSE BATTERY BACKUP I WAS NOT EXPECTING THAT FROM A VERY GOOD REPUTED COMPANY .	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		16-03-2014
Vivek hariharno	2	0	0	"I haven't got brochure manual etc. In the box.."", ""Only I've got my trimmer and charging cable."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		17-12-2014
Santhosh kumar	2	0	0	I have a problem with the charging could you please send me the bill number of bill of this product	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		17-10-2015
pratish	2	0	0	"2 only working of trimmer, packing was very bad, I m not buying anything again from amazon,the product is very noisy,dont buy it go for lower range product...,"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		17-10-2015
Dhanamjai	2	0	0	Not up to the mark... No close shave.. It is not worth of a gud trimmer.. Previously I used a Philips trimmer which I bought from US. Its of Norelco series.. Its simply supurb.. The models released in india are not gud.. Think thrice before buying...	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		20-05-2015
Sudheer Reddy	2	0	0	"Cleaning hair bits is the biggest problem. The brush given for cleaning is almost of no use. The hair bits go inside and you cant use water to clean it. You need to spend considerable time to clean the inside after trimming. Also you cant use it when plugged in, so better keep it ready charged beforehand."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		20-05-2015
Akarai	2	0	0	"It is not closer trimmer, i want closer trimmer"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		21-08-2014
faisal naviwala	2	0	0	"I CHOSE THIS RATING BECOZ OVER ALL FINISH OF THE PRODUCT IS GOOD BUT THE TRIMMING CAPACITY IS NOT VERY GOOD IF YOU HAIR IS TOO HARD.', 'SECONDLY I TRIED TO REGISTER ONLINE THIS PRODUCT FOR EXTRA 1 YEAR FREE WARRANTY I COULD NOT FIND THE SITE & WAYS TO DO SO ."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		21-05-2014
Chandanapalle V.	2	0	0	I dont know after charging a10 hours also it's not getting charged still the green light is on adapter	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		22-10-2014
Laxmikant	2	0	0	Product is OK but Clean shave can not be done with this.....Not so USEFUL.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		24-06-2015
Prince Bakshi	2	0	0	it's not working ryt very bad can you replace it ...please	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		24-10-2014
Ashutosh	2	0	0	"product is good, but drawback is that it is cordless it can not run on electricity directly .....u ve have charge it for 10hrs and then only can be used...."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		25-09-2015
SivaRama Krishna	2	0	0	This is not powerful as expected. features are good but cutting is poor.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		27-06-2015
Naitik	2	0	0	Size 1(smallest size) is too big for beard trimming	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		29-05-2015
aniket wakure	2	0	0	Can't use when its charging..Panasonic is better	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		03-05-2015
Abhishek PAnchal	2	0	0	Product is good. But doesn't full fill my requirement. Delivered well on time.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		03-09-2014
Suryasharma Chunduri	2	0	0	Trimming is not up to the mark. Is is just OK product.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		30-04-2015
koushik busim	2	0	0	What else do i get with this? Only trimmer?	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		30-07-2015
Shritej	2	0	0	"#Using since 1 year.', '#Worked fine for couple of months.', '#Then i noticed that the speed of motor has decreased significantly as compared to initial speed.', '#Facing low motor speed problem."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		31-08-2015
ARUN KUMAR YADAV	2	0	0	Charger of trimmer I received  was not working...	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		31-01-2015
amit kumar singh	2	0	0	Number of size to which one can use is largely farse. Not much difference in reality.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		31-07-2014
ravi	2	0	0	not so good battery life is not good. it takes 12 hours of charging and only one or two times i can shave.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		04-10-2015
Imran	2	0	0	"Not good for heavy users ,battery is soo not good but after all what can u expect from less money you pay.10 hours of charging is really pathetic.also blades are not sharp and dosent trim properly."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		05-09-2014
YUGANDHAR	2	0	0	"it sounds a little bit loud ,unable to trim strands of hair at one go"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		06-12-2014
Ashwani Chaudhary	2	0	0	i have hard share....being it have a very little cutting mechanism..hence it got failed to trim my shave at all...but i used it for trimming my side locks	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		06-05-2014
aditya	2	0	0	"4000 is better than 4005', 'Hear No round tip for scratching while trimming its was hurting"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		06-09-2014
Mayur Dusane	2	0	0	Battery hardly gives 10 minutes backup .....even after sufficient charging	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		07-01-2015
harmanjeet	2	0	0	This trimmer doesn't give you 3 days of beard at 0.5mm precision as mentioned in the product description. It gives you 4-5 days of beard in my case. Not recommended if you want to keep less than 4 days of beard.Also the product box was not sealed.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		07-01-2015
Ravindran	2	0	0	There was a basic error in design that we are unable to find whether the device is charging or Not. (It doesn't have such a indicating light).	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		07-07-2014
nazrul	2	0	0	battery backup no longer. wire is better then wireess	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		07-05-2015
Shahir	2	0	0	"I liked the design of the product. However, comparing to the old Panasonic trimmer I am used to, the noise this created was terrible; I just have to use it because I purchased it, but I honestly don't recommend you to buy this."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive		07-10-2014
Pankaj Mishra	2	1	100	"Not what I expected from Phillips. Service is these days aren't good of Phillips, Customer service center people behave like they are the owners of Phillips. Really dissatisfied."	1	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive	1 of 1 people found the following review helpful	27-04-2015
nandkishor shinde	2	1	100	I refer you to buy Philips QT 4011/15..	1	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	2.0 out of 5 stars	Negetive	1 of 1 people found the following review helpful	03-03-2015
Ravi Sankar Ramasamy	3	0	0	The trimming length is not accurate as expected.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		01-08-2015
Shakti Kiran	3	0	0	"Not Much impresed .. but working fine .. no -ve feedback', 'https://www.youtube.com/watch?v=20UpZopFRWQ"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		01-07-2015
Nelson Coutinho	3	0	0	"Good, but battery drains pretty quickly"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		01-11-2014
vijay thapa	3	0	0	"earlier I was using Philips HQ803, I used it for around four years, but lately the blade cover got wear out, so I ordered this (Philips QT4005/15) trimmer for  clean shave. But this item (Philips QT4005/15) is not meant for clean shave, it is only for trimming your beard so I have to return it to amazon. If you want it for clean shave then please don't buy this trimmer. HQ803 is better choice if you want clean shave."", 'Thank you Amazon for accepting the product."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		10-05-2014
Pavan	3	0	0	"The clip for 1,2,3 sizes its difficult to use."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		10-11-2014
Vivek Verma	3	0	0	Its light weight easy to handle but there is one big problem with it after full usage when battery gets discharged can't be used for single second.... even after connecting with charger it doesn't starts. And it can be used for only 20-25 min after full charging of 10 hrs.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		10-11-2014
ankit dubey	3	0	0	What about the warranty on this product?	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		11-08-2015
premanand	3	0	0	Nothing Great about this product.. Ok Ok to have it our shelf.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		11-12-2014
Sanjay	3	0	0	Misses the led indicator for the charging notification .. But the trimmer is really good	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		11-01-2015
Priyabrata Panda	3	0	0	"i want to trim in direct electric not battery, but i hate battery back up"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		11-11-2014
Rahul	3	0	0	Overall good product. Trimming adjustments could have been better	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		11-11-2014
Ibrahim	3	0	0	Good design...average performance...disappointed by battery(10 hrs charging for approx 30 min use. Not even led indicator is provided to know if charging is full. U only know it when u r trimming and suddenly it stops working in between. And u cant even plug it and use u needs to wait atleast 30 mins coz then it works for approx 5 to 10  mins).	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		12-08-2015
Manimaran	3	0	0	Product is OK but no discount on price.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		12-07-2015
sachin kumar goyal	3	0	0	"Nice product.....', 'But charging time is too long.', 'and not too safe use carefully."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		12-06-2015
Rajan sharma	3	0	0	product is ok but i receved tempered packing seal	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		12-11-2014
Sivaram	3	0	0	"Good, comb design looking nice but perform no good for more haired head"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		12-11-2014
santosh	3	0	0	"According to the product, It's nice but i got another's order and my order gone to another"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		12-11-2014
shrevar	3	0	0	product is good at this price..giving only 3 stars coz it can be better..but ryt now compared to others its purchasable..its compact- easy to carry..good enough battery(non-replacable)..but dont work while charging	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		12-10-2014
venkatesh k	3	0	0	"Product is ok,but the blades are too sharp 2 times it injured me,have to be careful."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		12-10-2015
Anant Dwivedi	3	0	0	"Battery Backup is ok . not so good , not so BAd .', 'with this price any model you can buy"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		13-01-2014
Suryashis	3	0	0	"Does what it says,ie. no close shave with this one. One disappointment is the lack of an indicator to say when it is to be charged or when changing is complete."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		13-06-2015
yogesh bharmal	3	0	0	product is good...bt takes a long time to charge..	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		13-06-2015
Rajendar	3	0	0	"The charge does not last long, You cant run with Power Plugged only. With only charge you can run not good."	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		14-04-2014
amandeep	3	0	0	This is good product for this price range of 1110. it wont give experience like shaving or this product is only use for trimming purposes and the box is wet when i get it and attachment is slightly loose.	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		15-06-2014
sahil sachdeva	3	0	0	less battery backup otherwise good at this prize	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		15-06-2015
mushtaq	3	0	0	"its not smooth very rough after trimming the small particle of hair is unable to remove', 'can any one tell me any cream to apply before or after trimming to keep the face clean and soft"	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		15-03-2015
SUNIL KUMAR SAINI	3	0	0	product is gppd.......but unable to understand hw is use it..	0	1	B00CE3FT66	Philips QT4005/15 Beard and Stubble Trimmer (M-Power Play)	3.0 out of 5 stars	Negetive		15-11-2014
